Sale_ID,Date,Store_ID,Product_ID,Units
1,2025-01-01,1,95,1
2,2025-01-01,1,18,4
3,2025-01-01,1,68,1
4,2025-01-01,1,102,2
5,2025-01-01,1,15,5
6,2025-01-02,1,48,3
7,2025-01-02,1,33,4
8,2025-01-02,1,40,3
9,2025-01-02,1,43,2
10,2025-01-02,1,126,3
11,2025-01-02,1,6,3
12,2025-01-03,1,110,1
13,2025-01-03,1,143,4
14,2025-01-03,1,90,2
15,2025-01-03,1,153,2
16,2025-01-03,1,91,2
17,2025-01-03,1,18,2
18,2025-01-03,1,138,4
19,2025-01-04,1,110,1
20,2025-01-04,1,92,3
21,2025-01-04,1,169,3
22,2025-01-04,1,1,2
23,2025-01-04,1,148,2
24,2025-01-04,1,176,1
25,2025-01-04,1,3,4
26,2025-01-04,1,87,1
27,2025-01-04,1,101,1
28,2025-01-04,1,143,1
29,2025-01-04,1,21,3
30,2025-01-04,1,41,1
31,2025-01-04,1,172,3
32,2025-01-05,1,89,4
33,2025-01-05,1,56,2
34,2025-01-05,1,91,6
35,2025-01-05,1,179,1
36,2025-01-05,1,102,1
37,2025-01-05,1,119,1
38,2025-01-05,1,32,4
39,2025-01-05,1,7,5
40,2025-01-06,1,177,1
41,2025-01-06,1,153,4
42,2025-01-06,1,54,2
43,2025-01-06,1,106,1
44,2025-01-07,1,4,3
45,2025-01-07,1,143,5
46,2025-01-07,1,162,2
47,2025-01-07,1,22,1
48,2025-01-07,1,179,3
49,2025-01-08,1,139,2
50,2025-01-08,1,32,2
51,2025-01-08,1,177,5
52,2025-01-08,1,173,3
53,2025-01-08,1,81,3
54,2025-01-08,1,98,1
55,2025-01-08,1,8,4
56,2025-01-08,1,14,1
57,2025-01-09,1,120,2
58,2025-01-09,1,114,1
59,2025-01-09,1,40,1
60,2025-01-09,1,82,1
61,2025-01-09,1,101,2
62,2025-01-09,1,54,1
63,2025-01-09,1,24,4
64,2025-01-09,1,90,2
65,2025-01-09,1,108,3
66,2025-01-10,1,73,2
67,2025-01-10,1,74,3
68,2025-01-11,1,45,3
69,2025-01-11,1,20,6
70,2025-01-11,1,97,2
71,2025-01-11,1,170,2
72,2025-01-11,1,11,5
73,2025-01-11,1,102,2
74,2025-01-11,1,31,4
75,2025-01-11,1,176,1
76,2025-01-11,1,78,1
77,2025-01-11,1,137,1
78,2025-01-12,1,137,5
79,2025-01-12,1,168,3
80,2025-01-12,1,145,3
81,2025-01-12,1,162,2
82,2025-01-13,1,169,1
83,2025-01-13,1,24,2
84,2025-01-13,1,108,2
85,2025-01-13,1,157,4
86,2025-01-13,1,179,2
87,2025-01-13,1,47,4
88,2025-01-14,1,60,2
89,2025-01-14,1,108,1
90,2025-01-14,1,70,1
91,2025-01-14,1,175,2
92,2025-01-15,1,44,4
93,2025-01-15,1,115,2
94,2025-01-15,1,89,3
95,2025-01-16,1,38,3
96,2025-01-16,1,154,2
97,2025-01-16,1,95,2
98,2025-01-16,1,26,1
99,2025-01-16,1,124,3
100,2025-01-16,1,29,1
101,2025-01-16,1,21,1
102,2025-01-17,1,143,5
103,2025-01-17,1,106,3
104,2025-01-17,1,35,2
105,2025-01-17,1,149,2
106,2025-01-17,1,104,2
107,2025-01-17,1,116,4
108,2025-01-18,1,114,5
109,2025-01-18,1,10,1
110,2025-01-18,1,45,2
111,2025-01-18,1,156,5
112,2025-01-19,1,180,1
113,2025-01-19,1,35,2
114,2025-01-19,1,98,1
115,2025-01-19,1,132,3
116,2025-01-19,1,97,1
117,2025-01-20,1,59,3
118,2025-01-20,1,74,1
119,2025-01-20,1,180,3
120,2025-01-20,1,78,1
121,2025-01-20,1,135,2
122,2025-01-20,1,51,2
123,2025-01-20,1,161,1
124,2025-01-20,1,163,1
125,2025-01-20,1,156,2
126,2025-01-20,1,115,4
127,2025-01-20,1,108,1
128,2025-01-21,1,173,1
129,2025-01-21,1,98,2
130,2025-01-21,1,167,3
131,2025-01-22,1,136,4
132,2025-01-22,1,134,3
133,2025-01-22,1,129,2
134,2025-01-22,1,15,1
135,2025-01-22,1,56,3
136,2025-01-22,1,108,4
137,2025-01-22,1,88,1
138,2025-01-22,1,51,3
139,2025-01-22,1,80,3
140,2025-01-22,1,58,4
141,2025-01-23,1,18,2
142,2025-01-23,1,56,2
143,2025-01-23,1,6,6
144,2025-01-23,1,149,5
145,2025-01-23,1,64,1
146,2025-01-23,1,155,1
147,2025-01-24,1,136,3
148,2025-01-24,1,2,4
149,2025-01-24,1,158,1
150,2025-01-24,1,143,1
151,2025-01-24,1,20,1
152,2025-01-24,1,68,1
153,2025-01-25,1,47,2
154,2025-01-25,1,45,2
155,2025-01-25,1,63,1
156,2025-01-25,1,175,1
157,2025-01-25,1,78,2
158,2025-01-25,1,60,3
159,2025-01-25,1,41,1
160,2025-01-25,1,169,1
161,2025-01-26,1,156,1
162,2025-01-26,1,43,3
163,2025-01-26,1,162,2
164,2025-01-27,1,40,4
165,2025-01-27,1,114,2
166,2025-01-27,1,90,3
167,2025-01-27,1,142,4
168,2025-01-27,1,104,2
169,2025-01-27,1,73,3
170,2025-01-27,1,16,2
171,2025-01-27,1,118,2
172,2025-01-27,1,162,3
173,2025-01-27,1,51,1
174,2025-01-28,1,160,3
175,2025-01-28,1,16,4
176,2025-01-28,1,91,3
177,2025-01-28,1,5,1
178,2025-01-28,1,154,3
179,2025-01-28,1,106,4
180,2025-01-28,1,156,2
181,2025-01-28,1,169,2
182,2025-01-29,1,137,1
183,2025-01-29,1,79,1
184,2025-01-29,1,177,1
185,2025-01-29,1,60,1
186,2025-01-29,1,129,1
187,2025-01-30,1,80,4
188,2025-01-30,1,22,3
189,2025-01-30,1,21,1
190,2025-01-30,1,47,1
191,2025-01-30,1,90,3
192,2025-01-30,1,64,2
193,2025-01-30,1,87,1
194,2025-01-31,1,94,4
195,2025-01-31,1,16,3
196,2025-01-31,1,176,3
197,2025-01-31,1,179,3
198,2025-01-31,1,11,1
199,2025-01-31,1,156,5
200,2025-01-31,1,82,1
201,2025-01-31,1,160,3
202,2025-01-31,1,81,4
203,2025-02-01,1,60,2
204,2025-02-01,1,148,2
205,2025-02-01,1,135,1
206,2025-02-01,1,130,1
207,2025-02-01,1,45,2
208,2025-02-01,1,154,1
209,2025-02-01,1,81,4
210,2025-02-01,1,114,1
211,2025-02-01,1,21,1
212,2025-02-02,1,55,1
213,2025-02-02,1,130,1
214,2025-02-02,1,15,4
215,2025-02-02,1,161,1
216,2025-02-02,1,104,2
217,2025-02-02,1,45,2
218,2025-02-02,1,139,3
219,2025-02-03,1,158,1
220,2025-02-03,1,27,1
221,2025-02-03,1,110,1
222,2025-02-03,1,166,1
223,2025-02-03,1,127,2
224,2025-02-03,1,35,4
225,2025-02-03,1,77,1
226,2025-02-04,1,149,1
227,2025-02-04,1,170,2
228,2025-02-04,1,124,1
229,2025-02-04,1,77,3
230,2025-02-04,1,15,3
231,2025-02-05,1,164,3
232,2025-02-05,1,163,5
233,2025-02-05,1,118,4
234,2025-02-05,1,134,2
235,2025-02-05,1,139,4
236,2025-02-05,1,154,1
237,2025-02-05,1,103,2
238,2025-02-06,1,172,4
239,2025-02-06,1,89,3
240,2025-02-06,1,5,2
241,2025-02-06,1,31,1
242,2025-02-06,1,82,2
243,2025-02-06,1,61,4
244,2025-02-07,1,145,1
245,2025-02-07,1,38,2
246,2025-02-07,1,97,1
247,2025-02-07,1,43,2
248,2025-02-07,1,64,3
249,2025-02-07,1,139,2
250,2025-02-08,1,92,2
251,2025-02-08,1,134,1
252,2025-02-08,1,136,2
253,2025-02-08,1,4,3
254,2025-02-08,1,103,5
255,2025-02-09,1,166,1
256,2025-02-09,1,89,4
257,2025-02-09,1,129,1
258,2025-02-09,1,48,1
259,2025-02-09,1,33,3
260,2025-02-09,1,35,3
261,2025-02-09,1,136,2
262,2025-02-09,1,65,5
263,2025-02-10,1,11,2
264,2025-02-10,1,79,3
265,2025-02-10,1,104,1
266,2025-02-10,1,108,4
267,2025-02-10,1,65,2
268,2025-02-11,1,29,2
269,2025-02-11,1,2,1
270,2025-02-11,1,168,3
271,2025-02-11,1,48,1
272,2025-02-11,1,148,3
273,2025-02-11,1,20,2
274,2025-02-11,1,24,2
275,2025-02-12,1,157,3
276,2025-02-12,1,5,1
277,2025-02-12,1,29,3
278,2025-02-12,1,80,2
279,2025-02-12,1,40,1
280,2025-02-12,1,176,2
281,2025-02-12,1,27,3
282,2025-02-12,1,32,1
283,2025-02-12,1,14,5
284,2025-02-13,1,90,1
285,2025-02-13,1,31,3
286,2025-02-13,1,32,4
287,2025-02-13,1,150,1
288,2025-02-14,1,119,1
289,2025-02-14,1,165,3
290,2025-02-14,1,82,3
291,2025-02-14,1,135,1
292,2025-02-14,1,166,5
293,2025-02-14,1,169,1
294,2025-02-15,1,130,1
295,2025-02-15,1,119,2
296,2025-02-15,1,81,4
297,2025-02-15,1,164,4
